College_Name,Location_City,Location_State,Campus_Area,Accreditation_Body,Affiliation_University,Year_of_Establishment,National_Ranking,International_Ranking,Number_of_Faculties,Number_of_Departments,Website_URL,Program_Name,Eligibility_Criteria,Required_Entrance_Exam,Minimum_Exam_Score,Application_Start_Date,Application_End_Date,Admission_Quota_Type,Reservation_Category,Application_Fees,Application_Mode,Document_Required,Counseling_Start_Date,Counseling_End_Date,Tuition_Fees_Annual,Hostel_Fees_Annual,Lab_Fees_Annual,Miscellaneous_Fees,Total_Fees,Scholarship_Name,Scholarship_Eligibility,Scholarship_Amount,Financial_Aid_Options,Installment_Availability,Loan_Partners,Payment_Methods,Course_Duration_Years,Core_Subjects,Elective_Subjects,Faculty_Qualification,Faculty_Experience_Years,Teaching_Methods,Average_Class_Size,Academic_Calendar_Start,Academic_Calendar_End,Exam_Schedule,Average_CGPA,Research_Opportunities_Available,Internship_Availability,Placement_Year,Placement_Rate_Overall,Placement_Rate_By_Department,Top_Recruiters,Average_Salary_Overall,Average_Salary_By_Department,Highest_Salary_Overall,Highest_Salary_By_Department,Internship_Partners,Internship_Conversion_Rate,Total_Number_of_Classrooms,Total_Number_of_Labs,Library_Books_Available,Library_Digital_Resources,Hostel_Capacity,Sports_Facilities_Available,Gym_Available,Auditorium_Capacity,WiFi_Availability,Canteen_Capacity,Number_of_Smart_Classrooms,Medical_Facilities_Available,Accessibility_Features,Counseling_Services_Available,Mentorship_Programs_Available,Clubs_and_Societies_Available,Cultural_Events_Frequency,On_Campus_Accommodation_Available,Student_Exchange_Programs_Available,Alumni_Network_Size,Alumni_Notable_Names,Campus_Safety_Rating,Emergency_Protocols,Part-time_Job_Opportunities_Available,Department_Name,Specializations_Offered,Departmental_Achievements,Lab_Specific_Facilities,Industry_Collaborations_Available,Departmental_Events_Frequency,Number_of_International_Students,Country_of_Origin,Admission_Process_International,Visa_Assistance_Available,Cultural_Integration_Programs_Available,Language_Support_Available,International_Student_Housing_Available,Entrepreneurship_Support_Available,Incubation_Center_Available,Part-time_Job_Opportunities_International_Students,Study_Abroad_Programs_Available,Dual_Degree_Programs_Available,Community_Service_Programs_Available
Bright LLC,Boothville,California,17,AICTE,Henry PLC University,1950,119,73,125,23,http://www.velez.com/,Engineering,Graduation with 55%,SAT,,10-08-2024,17-07-2024,Reserved,ST,988,Online,Address Proof,25-07-2024,07-05-2024,89093,56101,31155,6010,157043,Reveal Scholarship,Merit-Based,74494,No,No,"Perry, Snyder and Russell",Credit Card,5,World,Treatment,MTech,1,Practical,37,01-04-2024,13-04-2024,13-05-2024,8.48,Yes,No,2022,53,84,Wood PLC,936826,466073,1551346,2182382,Daniels-Burton,71,22,14,20671,6743,1825,Yes,No,1617,Yes,454,7,Yes,Yes,No,Yes,East Club,Yearly,No,No,37742,Diana Ibarra,10,No,No,Law,Three Engineering,Body capital hair life age explain appear.,Along everything should think.,No,Yearly,569,Maldives,Different,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No
0,Jeffreyberg,South Carolina,155,NAAC,"Dodson, Williams and Palmer University",1976,332,250,304,9,https://may.com/,Engineering,Graduation with 55%,None,61,02-05-2024,17-08-2024,Management,General,1357,Online,Marksheet,05-02-2024,19-04-2024,199776,30772,18302,16097,289452,Sort Scholarship,Category-Based,21026,No,No,Williams Inc,Credit Card,4,White,Figure,MTech,34,Project-Based,75,03-05-2024,02-08-2024,06-05-2024,9.17,Yes,No,2011,63,98,Cunningham-Diaz,1404947,746645,1234500,974459,"Foster, Sims and Ramos",49,185,10,96255,7912,674,No,Yes,1134,Yes,369,11,No,No,Yes,No,President Club,Yearly,No,No,93394,Samuel Pineda,4,No,No,Computer Science,Product Engineering,Understand challenge church tax hard.,Enter main building budget develop foreign.,Yes,Monthly,379,Solomon Islands,Different,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No
Harris-Smith,Smithburgh,Kansas,198,NBA,Hudson Ltd University,1965,158,992,54,23,https://powers-tyler.net/,Law,12th Grade with 60%,None,66,14-01-2024,13-08-2024,General,SC,1980,Online,ID Proof,10-03-2024,30-07-2024,81171,99933,16764,10715,569659,Understand Scholarship,Merit-Based,11520,Yes,Yes,Jackson Inc,Credit Card,4,Occur,Late,PhD,14,Online,25,16-04-2024,19-06-2024,23-08-2024,6.8,Yes,No,2019,62,51,Chen Group,1434149,591637,673415,2718561,Edwards-Lee,31,81,47,59025,8768,613,No,Yes,316,Yes,441,41,Yes,Yes,Yes,Yes,Behind Club,Monthly,No,No,84477,Jennifer Espinoza,8,Yes,No,Arts,Election Engineering,Investment clearly have baby.,Me offer early focus investment plan morning.,Yes,Yearly,267,United Kingdom,Different,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes
"Lopez, Thomas and Roberson",New Alexandra,Vermont,77,AICTE,"Jennings, White and Nichols University",1974,286,387,461,5,http://rivers-robinson.com/,Arts,12th Grade with 60%,JEE,58,13-03-2024,17-01-2024,Management,ST,1304,Online,Address Proof,25-07-2024,20-07-2024,340131,50253,36073,9642,97743,Front Scholarship,Category-Based,55359,Yes,No,Henry Group,Net Banking,2,Magazine,Pretty,MSc,2,Practical,57,08-01-2024,04-05-2024,24-06-2024,8.81,No,Yes,2023,90,91,Fisher-Marsh,311005,849286,1871402,2699454,Rivera-Crosby,58,125,32,32445,5496,981,Yes,Yes,1490,No,384,42,Yes,Yes,Yes,No,Choose Club,Monthly,Yes,No,40780,John Johnson,8,No,No,Civil,Politics Engineering,On brother arm knowledge economy Mrs.,Know business support know create.,Yes,Weekly,597,Cocos (Keeling) Islands,Similar,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes
Leon LLC,North Jane,Idaho,92,UGC,Robbins and Sons University,1964,212,86,308,13,https://www.cruz-davis.org/,Engineering,12th Grade with 60%,CAT,65,02-03-2024,22-05-2024,General,OBC,1196,Online,Photo,15-07-2024,04-03-2024,169853,23270,15488,13856,127919,Beautiful Scholarship,Merit-Based,71360,Yes,Yes,Hernandez-Taylor,UPI,2,Today,Run,PhD,4,Practical,32,03-07-2024,29-07-2024,01-06-2024,7.16,Yes,No,2012,100,68,"Perry, Blackburn and Olson",312839,1299964,2766747,1168014,Walker Ltd,68,10,31,35482,7195,838,No,Yes,1160,No,233,21,Yes,Yes,Yes,Yes,At Club,Yearly,No,No,33294,Jared Burch,1,No,No,Business,Heart Engineering,Ability group worker issue she.,Listen establish into case fund build.,No,Weekly,438,Anguilla,Similar,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
"Harris, Phelps and Miller",East Kellyberg,Ohio,154,AICTE,Craig-Carson University,1992,166,444,231,8,http://www.hurst.com/,Engineering,Entrance Exam,JEE,96,24-06-2024,29-01-2024,Management,General,674,Online,ID Proof,30-01-2024,27-08-2024,320758,22277,35576,14760,143057,Chair Scholarship,Need-Based,34202,Yes,Yes,"Thomas, Alvarado and Huerta",Credit Card,1,Guess,Necessary,MTech,2,Online,91,18-08-2024,21-03-2024,14-08-2024,8.16,No,Yes,2023,89,74,Sharp-Dawson,1372953,937333,2954027,1293368,Goodman-Campbell,16,160,46,36617,3272,331,No,No,1935,Yes,458,41,Yes,Yes,Yes,No,Woman Club,Monthly,Yes,Yes,64319,Cassandra Meyers,2,No,Yes,Electrical,Final Engineering,Quality test them arm coach TV.,Resource even wonder establish front.,No,Weekly,500,Italy,Different,No,No,No,No,No,Yes,No,Yes,Yes,No
"Ritter, Velasquez and Barrera",East William,Utah,113,UGC,"Pearson, Wilson and Banks University",1968,415,876,103,48,http://www.foster.info/,Law,Entrance Exam,SAT,75,17-05-2024,05-08-2024,Management,OBC,1193,Online,Address Proof,04-02-2024,12-07-2024,418890,80983,29954,19042,588875,Majority Scholarship,Merit-Based,41768,Yes,Yes,Stephens-Barker,Net Banking,1,Laugh,Whose,PhD,25,Online,83,13-04-2024,06-06-2024,28-01-2024,8.67,No,No,2024,69,63,Garcia Group,1163971,454095,2746544,2619491,"Huff, Reed and Tate",29,165,46,60937,3709,812,Yes,No,893,Yes,383,42,Yes,Yes,Yes,Yes,Decision Club,Yearly,No,No,12752,Thomas Bolton,2,Yes,No,Business,Most Engineering,Meet officer billion.,Point tax baby buy this let generation road.,No,Yearly,58,Suriname,Different,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No
Lynch LLC,Port Jessica,Idaho,193,UGC,"Edwards, Rodriguez and Hale University",1975,467,675,414,42,https://gross-johnson.net/,Law,Graduation with 55%,None,99,15-07-2024,12-08-2024,Reserved,SC,1813,Offline,Marksheet,02-07-2024,06-06-2024,392637,34197,12793,14796,239774,Drug Scholarship,Merit-Based,90244,No,Yes,"Wallace, Perkins and Coleman",Credit Card,4,Language,Skin,PhD,9,Online,74,24-05-2024,07-06-2024,25-08-2024,7.35,No,No,2024,97,81,Gonzales-Williams,757375,1174064,2716363,1114600,"Hernandez, Riley and Rangel",79,185,45,34071,186,1395,Yes,Yes,388,Yes,73,24,Yes,Yes,No,Yes,Ready Club,Weekly,Yes,Yes,32572,Amy Gould,10,Yes,No,Computer Science,Deep Engineering,Company population defense sign professor.,Hope season though nation war meeting.,Yes,Weekly,262,Moldova,Different,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes
Herrera Inc,South Lauren,Georgia,179,AICTE,Woodard-Ramos University,2006,79,662,497,27,http://oconnell.com/,Engineering,12th Grade with 60%,CAT,64,12-08-2024,04-07-2024,Reserved,ST,1103,Offline,Address Proof,14-07-2024,21-08-2024,233926,26792,24107,6614,571781,Record Scholarship,Category-Based,72621,Yes,No,Gonzalez-Floyd,UPI,1,Business,Traditional,MTech,20,Project-Based,87,19-05-2024,25-03-2024,20-04-2024,6.06,Yes,Yes,2010,87,53,"Gonzales, Villarreal and Sanchez",636692,990024,1656354,1580281,Patterson-Brown,23,194,40,22805,981,347,No,No,1228,Yes,151,28,Yes,No,No,No,Student Club,Weekly,No,No,93117,Michele White,5,No,No,Law,Beautiful Engineering,Another American toward lead represent.,Bit sister send quickly scientist.,No,Monthly,91,Tokelau,Different,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
"Edwards, Cummings and Cannon",Cathybury,Minnesota,68,NBA,Hunt-Lopez University,2006,353,730,101,46,https://www.greene-walker.com/,Engineering,12th Grade with 60%,CAT,97,08-03-2024,25-07-2024,Management,General,503,Online,Marksheet,06-06-2024,09-06-2024,163877,91983,21838,16489,451448,Goal Scholarship,Merit-Based,71211,No,Yes,Mckenzie-Ball,Net Banking,5,Kid,Expert,PhD,35,Project-Based,50,12-07-2024,26-08-2024,10-06-2024,8.17,No,No,2012,74,85,"Baker, Garrison and Green",1494086,931895,886186,2196336,"Chambers, Mullen and Lopez",64,185,22,97859,5854,342,Yes,No,1622,Yes,318,10,Yes,No,Yes,Yes,Quickly Club,Weekly,Yes,Yes,76237,Angela Myers,7,No,No,Business,Nation Engineering,Point boy get pull music later.,Wonder decade note window successful TV.,Yes,Monthly,103,Mongolia,Different,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes
